period,strategy,cagr,volatility,sharpe,max_drawdown,ending_wealth,turnover,position_changes
Development,Selected TSMOM,0.08070012932114512,0.09635254133901641,0.6970928245523386,-0.20257789008306082,37393.196393402395,28.0,28
Development,ACWI buy-and-hold,0.0842633571751168,0.1493686078695074,0.5146939658355819,-0.5856503714337098,39544.592190902506,0.0,0
Post-2020 evaluation,Selected TSMOM,0.05853220921934299,0.12772705307553656,0.2769205688290874,-0.3375866489639472,14584.299734080965,13.0,13
Post-2020 evaluation,ACWI buy-and-hold,0.12617757956363573,0.16191755147883227,0.6184247751567091,-0.3375866489639473,21996.691970042375,0.0,0
Full sample,Selected TSMOM,0.07442076193183933,0.10609668361653066,0.5489205878129976,-0.4195762693857725,54535.358421674006,41.0,41
Full sample,ACWI buy-and-hold,0.09585970642852826,0.15298811618309874,0.5452198768610567,-0.5856503714337098,86985.02135042235,0.0,0
